CPAH,YEAR,WAVE,DEP20,DEP10,Region
0.952380952380952,2005,4to5,0to19,10to19,North
0,2007,2to3,20to59,20to29,North
1.25,2006,2to3,0to19,10to19,North
0,2001,4to5,0to19,10to19,North
0.612244897959184,2005,4to5,0to19,10to19,North
0,2004,2to3,20to59,20to29,North
1.42857142857143,2005,4to5,0to19,10to19,North
0.535714285714286,2005,4to5,0to19,10to19,North
0,2001,4to5,0to19,10to19,North
0,2001,4to5,20to59,20to29,North
0,2005,4to5,0to19,10to19,North
0,2001,4to5,0to19,10to19,North
0,2004,2to3,20to59,20to29,North
2,2001,4to5,20to59,20to29,North
1.22448979591837,2004,2to3,20to59,20to29,North
0,2001,4to5,0to19,10to19,North
0,2004,2to3,20to59,20to29,North
0.46875,2005,2to3,0to19,10to19,North
0,2005,2to3,0to19,10to19,North
1.71428571428571,2004,2to3,20to59,20to29,North
0,2001,4to5,0to19,10to19,North
0,2013,2to3,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0.256410256410256,2008,2to3,20to59,30to39,South
0,2013,2to3,0to19,10to19,South
0,2008,2to3,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
0,2006,4to5,20to59,30to39,South
0,2003,2to3,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2008,2to3,20to59,20to29,South
0,2010,2to3,20to59,20to29,South
0,2013,4to5,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2013,2to3,20to59,20to29,South
0,2005,4to5,20to59,30to39,South
0,2011,4to5,20to59,30to39,South
0,2003,4to5,20to59,40to49,South
0,2008,2to3,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2003,2to3,20to59,40to49,South
0,2011,4to5,20to59,30to39,South
0,2008,2to3,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2006,4to5,20to59,40to49,South
0,2004,4to5,0to19,10to19,South
0,2003,2to3,20to59,30to39,South
0,2013,4to5,20to59,20to29,South
0,2011,4to5,20to59,30to39,South
0.25,2003,4to5,20to59,30to39,South
0,2009,2to3,20to59,20to29,South
0,2009,2to3,20to59,20to29,South
0,2005,4to5,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2007,2to3,20to59,20to29,South
0,2001,4to5,20to59,30to39,South
0.705882352941177,2003,2to3,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2011,4to5,20to59,30to39,South
0,2011,4to5,20to59,30to39,South
0,2010,2to3,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2008,4to5,20to59,20to29,South
0,2008,2to3,20to59,30to39,South
0,2001,4to5,0to19,0to9,South
0.451127819548872,2013,2to3,0to19,10to19,South
0.258620689655172,2003,4to5,20to59,30to39,South
0,2008,2to3,20to59,30to39,South
0,2008,2to3,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2013,2to3,20to59,20to29,South
0,2006,4to5,20to59,20to29,South
0,2006,4to5,20to59,20to29,South
0,2007,2to3,20to59,30to39,South
0,2007,2to3,20to59,30to39,South
0.19047619047619,2008,2to3,20to59,30to39,South
0,2008,4to5,20to59,20to29,South
0,2011,4to5,20to59,20to29,South
0,2011,4to5,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2007,4to5,0to19,10to19,South
0,2008,4to5,20to59,20to29,South
0,2006,4to5,20to59,40to49,South
0,2014,4to5,0to19,0to9,South
0,2010,4to5,20to59,20to29,South
0,2007,4to5,20to59,20to29,South
0,2007,4to5,20to59,30to39,South
0,2011,4to5,20to59,20to29,South
0,2013,2to3,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2010,2to3,20to59,20to29,South
0.303030303030303,2007,4to5,20to59,30to39,South
0,2004,4to5,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2004,4to5,0to19,10to19,South
0,2007,4to5,20to59,20to29,South
0,2005,4to5,20to59,30to39,South
0,2007,4to5,20to59,20to29,South
0,2008,2to3,20to59,30to39,South
0,2003,4to5,20to59,20to29,South
0,2003,2to3,20to59,30to39,South
0,2007,4to5,20to59,30to39,South
0,2008,2to3,20to59,20to29,South
0,2003,2to3,20to59,20to29,South
0,2008,4to5,20to59,20to29,South
0,2003,2to3,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2011,4to5,20to59,30to39,South
0,2008,4to5,20to59,20to29,South
0,2008,4to5,20to59,30to39,South
0,2013,4to5,20to59,20to29,South
0,2003,4to5,20to59,30to39,South
0,2007,4to5,0to19,10to19,South
0,2001,4to5,20to59,20to29,South
0,2008,4to5,20to59,20to29,South
0,2006,4to5,20to59,30to39,South
0,2007,2to3,20to59,30to39,South
0.740740740740741,2011,4to5,0to19,0to9,South
0,2013,2to3,20to59,20to29,South
0,2008,2to3,20to59,30to39,South
0,2001,4to5,20to59,20to29,South
0,2001,4to5,20to59,20to29,South
0,2013,2to3,20to59,30to39,South
0.666666666666667,2003,4to5,20to59,20to29,South
0.504201680672269,2004,4to5,0to19,10to19,South
0,2008,2to3,20to59,30to39,South
0,2003,4to5,20to59,30to39,South
0,2008,4to5,20to59,30to39,South
0,2006,4to5,20to59,20to29,South
0,2007,4to5,0to19,0to9,South
0,2009,4to5,20to59,20to29,South
0,2009,4to5,0to19,10to19,South
0,2007,2to3,20to59,30to39,South
