"file","caption","category","png_time"
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio4_weightatsize.png","Weight-length relationship","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio5_maturity.png","Maturity at length","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio6_fecundity.png","Fecundity","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio8_fecundity_len.png","Fecundity as a function of length","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots//bio9_spawningoutput.png","Spawning output at length","Bio",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt1sex1.png","Female ending year selectivity for Commercial_Dead","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt1sex2.png","Male ending year selectivity for Commercial_Dead","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt2sex1.png","Female ending year selectivity for Commercial_Live","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt2sex2.png","Male ending year selectivity for Commercial_Live","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt3sex1.png","Female ending year selectivity for Rec_Charter","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt3sex2.png","Male ending year selectivity for Rec_Charter","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt4sex1.png","Female ending year selectivity for Rec_Private","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt4sex2.png","Male ending year selectivity for Rec_Private","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt5sex1.png","Female ending year selectivity for Commercial_Discard","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt5sex2.png","Male ending year selectivity for Commercial_Discard","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt6sex1.png","Female ending year selectivity for Rec_Charter_Onboard_87-98","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt6sex2.png","Male ending year selectivity for Rec_Charter_Onboard_87-98","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt7sex1.png","Female ending year selectivity for Rec_Charter_Onboard_1999-2014","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt7sex2.png","Male ending year selectivity for Rec_Charter_Onboard_1999-2014","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt8sex1.png","Female ending year selectivity for CCFRP_comps","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt8sex2.png","Male ending year selectivity for CCFRP_comps","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt9sex1.png","Female ending year selectivity for Abrams_thesis_CAAL","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel09_len_flt9sex2.png","Male ending year selectivity for Abrams_thesis_CAAL","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt1sex1.png","Female ending year selectivity and growth for Commercial_Dead","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt1sex2.png","Male ending year selectivity and growth for Commercial_Dead","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt2sex1.png","Female ending year selectivity and growth for Commercial_Live","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt2sex2.png","Male ending year selectivity and growth for Commercial_Live","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt3sex1.png","Female ending year selectivity and growth for Rec_Charter","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt3sex2.png","Male ending year selectivity and growth for Rec_Charter","Sel",2015-07-21 12:15:29
"C:/Assessment 2015/China rockfish/SS/China_South_BASE_FINAL/plots/sel21_agelen_contour_flt4sex1.png","Female ending year selectivity and growth for Rec_Private","Sel",2015-07-21 12:15:29
