"file","caption","category","png_time"
"C:/China2015/r4ss/plots_C//sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt1sex1.png","Female ending year selectivity for 1_CA_NorthOf4010_Comm_Dead","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt1sex2.png","Male ending year selectivity for 1_CA_NorthOf4010_Comm_Dead","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt2sex1.png","Female ending year selectivity for 2_CA_NorthOf4010_Comm_Live","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt2sex2.png","Male ending year selectivity for 2_CA_NorthOf4010_Comm_Live","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt3sex1.png","Female ending year selectivity for 3_CA_NorthOf4010_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt3sex2.png","Male ending year selectivity for 3_CA_NorthOf4010_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt4sex1.png","Female ending year selectivity for 4_CA_NorthOf4010_Rec_PR","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt4sex2.png","Male ending year selectivity for 4_CA_NorthOf4010_Rec_PR","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt5sex1.png","Female ending year selectivity for 5_OR_SouthernOR_Comm_Dead","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt5sex2.png","Male ending year selectivity for 5_OR_SouthernOR_Comm_Dead","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt6sex1.png","Female ending year selectivity for 6_OR_SouthernOR_Comm_Live","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt6sex2.png","Male ending year selectivity for 6_OR_SouthernOR_Comm_Live","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt7sex1.png","Female ending year selectivity for 7_OR_SouthernOR_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt7sex2.png","Male ending year selectivity for 7_OR_SouthernOR_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt8sex1.png","Female ending year selectivity for 8_OR_SouthernOR_Rec_PR","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt8sex2.png","Male ending year selectivity for 8_OR_SouthernOR_Rec_PR","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt9sex1.png","Female ending year selectivity for 9_OR_NorthernOR_Comm","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt9sex2.png","Male ending year selectivity for 9_OR_NorthernOR_Comm","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt10sex1.png","Female ending year selectivity for 10_OR_NorthernOR_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt10sex2.png","Male ending year selectivity for 10_OR_NorthernOR_Rec_PC","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt11sex1.png","Female ending year selectivity for 11_OR_NorthernOR_Rec_PR","Sel",2015-08-10 15:30:43
"C:/China2015/r4ss/plots_C//sel09_len_flt11sex2.png","Male ending year selectivity for 11_OR_NorthernOR_Rec_PR","Sel",2015-08-10 15:30:43
