"file","caption","category","png_time"
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio4_weightatsize.png","Weight-length relationship","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio5_maturity.png","Maturity at length","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio6_fecundity.png","Fecundity","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio8_fecundity_len.png","Fecundity as a function of length","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots//bio9_spawningoutput.png","Spawning output at length","Bio",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt1sex1.png","Female ending year selectivity for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt1sex2.png","Male ending year selectivity for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt2sex1.png","Female ending year selectivity for 2_CA_SouthOf4010_Comm_Live","Sel",2015-06-11 00:55:25
"C:/ejdick/China rockfish 2015 3pm May 23/SS models/China_South_2015-06-11_EJ_v01_estimate_h_and_M/plots/sel09_len_flt2sex2.png","Male ending year selectivity for 2_CA_SouthOf4010_Comm_Live","Sel",2015-06-11 00:55:25
