"file","caption","category","png_time","Run_time"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio1_sizeatage.png","Length at age in the middle of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio4_weightatsize.png","Weight-length relationship","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio5_maturity.png","Maturity at length","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio6_fecundity.png","Fecundity","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio8_fecundity_len.png","Fecundity as a function of length","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//bio9_spawningoutput.png","Spawning output at length","Bio",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
