"file","caption","category","png_time"
"C:/China2015/r4ss/plots_S///bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio4_weightatsize.png","Weight-length relationship","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio5_maturity.png","Maturity at length","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio6_fecundity.png","Fecundity","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio8_fecundity_len.png","Fecundity as a function of length","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///bio9_spawningoutput.png","Spawning output at length","Bio",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt1sex1.png","Female ending year selectivity for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt1sex2.png","Male ending year selectivity for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt2sex1.png","Female ending year selectivity for 2_CA_SouthOf4010_Comm_Live","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt2sex2.png","Male ending year selectivity for 2_CA_SouthOf4010_Comm_Live","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt3sex1.png","Female ending year selectivity for 3_CA_SouthOf4010_Rec_PC","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt3sex2.png","Male ending year selectivity for 3_CA_SouthOf4010_Rec_PC","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt4sex1.png","Female ending year selectivity for 4_CA_SouthOf4010_Rec_PR","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt4sex2.png","Male ending year selectivity for 4_CA_SouthOf4010_Rec_PR","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt5sex1.png","Female ending year selectivity for 5_CA_SouthOf4010_Comm_Discard","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt5sex2.png","Male ending year selectivity for 5_CA_SouthOf4010_Comm_Discard","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt6sex1.png","Female ending year selectivity for 6_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt6sex2.png","Male ending year selectivity for 6_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt7sex1.png","Female ending year selectivity for 7_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt7sex2.png","Male ending year selectivity for 7_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt8sex1.png","Female ending year selectivity for 8_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt8sex2.png","Male ending year selectivity for 8_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt9sex1.png","Female ending year selectivity for 9_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel09_len_flt9sex2.png","Male ending year selectivity for 9_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt1sex1.png","Female ending year selectivity and growth for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt1sex2.png","Male ending year selectivity and growth for 1_CA_SouthOf4010_Comm_Dead","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt2sex1.png","Female ending year selectivity and growth for 2_CA_SouthOf4010_Comm_Live","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt2sex2.png","Male ending year selectivity and growth for 2_CA_SouthOf4010_Comm_Live","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt3sex1.png","Female ending year selectivity and growth for 3_CA_SouthOf4010_Rec_PC","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt3sex2.png","Male ending year selectivity and growth for 3_CA_SouthOf4010_Rec_PC","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt4sex1.png","Female ending year selectivity and growth for 4_CA_SouthOf4010_Rec_PR","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt4sex2.png","Male ending year selectivity and growth for 4_CA_SouthOf4010_Rec_PR","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt5sex1.png","Female ending year selectivity and growth for 5_CA_SouthOf4010_Comm_Discard","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt5sex2.png","Male ending year selectivity and growth for 5_CA_SouthOf4010_Comm_Discard","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt6sex1.png","Female ending year selectivity and growth for 6_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt6sex2.png","Male ending year selectivity and growth for 6_CA_SouthOf4010_Rec_PC_DWV_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt7sex1.png","Female ending year selectivity and growth for 7_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt7sex2.png","Male ending year selectivity and growth for 7_CA_SouthOf4010_Rec_PC_onboard_index","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt8sex1.png","Female ending year selectivity and growth for 8_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt8sex2.png","Male ending year selectivity and growth for 8_CA_SouthOf4010_CCFRP_comps_only","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt9sex1.png","Female ending year selectivity and growth for 9_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//sel21_agelen_contour_flt9sex2.png","Male ending year selectivity and growth for 9_CA_SouthOf4010_Abrams_thesis_comps","Sel",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//ts1_Total_biomass_(mt).png","Total biomass (mt)","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//ts4_Summary_biomass_(mt).png","Summary biomass (mt)","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//ts7_Spawning_output.png","Spawning output","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//ts9_Spawning_depletion.png","Spawning depletion","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S//ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)","Timeseries",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///SR_curve.png","Spawner-recruit curve","S-R",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///SR_curve2.png","Spawner-recruit curve with labels on first, last, and years with (log) deviations > 0.5","S-R",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///catch1 landings.png","landings","Catch",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///catch2 landings stacked.png","landings stacked","Catch",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///catch9 harvest rate.png","harvest rate","Catch",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S////SPR1_series.png","Timeseries of SPR","SPR",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S////SPR2_minusSPRseries.png","Timeseries of 1-SPR","SPR",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S////SPR4_phase.png","Phase plot of biomass ratio vs. SPR ratio","SPR",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index1_cpuedata_3_CA_SouthOf4010_Rec_PC.png","Index data for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index2_cpuefit_3_CA_SouthOf4010_Rec_PC.png","Fit to index data for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index3_cpuecheck_3_CA_SouthOf4010_Rec_PC.png","Observed vs. expected index values with smoother for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index4_logcpuedata_3_CA_SouthOf4010_Rec_PC.png","Log index data for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index5_logcpuefit_3_CA_SouthOf4010_Rec_PC.png","Fit to index data on log scale for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index6_logcpuecheck_3_CA_SouthOf4010_Rec_PC.png","log(observed) vs. log(expected) index values with smoother for 3_CA_SouthOf4010_Rec_PC","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index1_cpuedata_6_CA_SouthOf4010_Rec_PC_DWV_index.png","Index data for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index2_cpuefit_6_CA_SouthOf4010_Rec_PC_DWV_index.png","Fit to index data for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index3_cpuecheck_6_CA_SouthOf4010_Rec_PC_DWV_index.png","Observed vs. expected index values with smoother for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index4_logcpuedata_6_CA_SouthOf4010_Rec_PC_DWV_index.png","Log index data for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index5_logcpuefit_6_CA_SouthOf4010_Rec_PC_DWV_index.png","Fit to index data on log scale for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index6_logcpuecheck_6_CA_SouthOf4010_Rec_PC_DWV_index.png","log(observed) vs. log(expected) index values with smoother for 6_CA_SouthOf4010_Rec_PC_DWV_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index1_cpuedata_7_CA_SouthOf4010_Rec_PC_onboard_index.png","Index data for 7_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index2_cpuefit_7_CA_SouthOf4010_Rec_PC_onboard_index.png","Fit to index data for 7_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index3_cpuecheck_7_CA_SouthOf4010_Rec_PC_onboard_index.png","Observed vs. expected index values with smoother for 7_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-07-23 14:38:36
"C:/China2015/r4ss/plots_S///index4_logcpuedata_7_CA_SouthOf4010_Rec_PC_onboard_index.png","Log index data for 7_CA_SouthOf4010_Rec_PC_onboard_index","Index",2015-07-23 14:38:36
