Region,SouthOf4010Dead,SouthOf4010Live,NorthOf4010Dead,NorthOf4010Live,Total,Source
1900,0,,,,0,Ralston et al.
1901,0.383,,,,0.383,Ralston et al.
1902,0.766,,,,0.766,Ralston et al.
1903,1.149,,,,1.149,Ralston et al.
1904,1.532,,,,1.532,Ralston et al.
1905,1.915,,,,1.915,Ralston et al.
1906,2.299,,,,2.299,Ralston et al.
1907,2.682,,,,2.682,Ralston et al.
1908,3.065,,,,3.065,Ralston et al.
1909,3.448,,,,3.448,Ralston et al.
1910,3.831,,,,3.831,Ralston et al.
1911,4.214,,,,4.214,Ralston et al.
1912,4.597,,,,4.597,Ralston et al.
1913,4.98,,,,4.98,Ralston et al.
1914,5.363,,,,5.363,Ralston et al.
1915,5.746,,,,5.746,Ralston et al.
1916,6.129,,0,,6.129,Ralston et al.
1917,9.522,,0.001,,9.523,Ralston et al.
1918,11.133,,0.002,,11.135,Ralston et al.
1919,7.741,,0,,7.741,Ralston et al.
1920,7.895,,0.001,,7.896,Ralston et al.
1921,6.519,,0.001,,6.52,Ralston et al.
1922,5.609,,0.001,,5.61,Ralston et al.
1923,6.066,,0,,6.066,Ralston et al.
1924,3.514,,0.001,,3.515,Ralston et al.
1925,4.388,,0.002,,4.39,Ralston et al.
1926,7.084,,0.002,,7.086,Ralston et al.
1927,6.016,,0.005,,6.021,Ralston et al.
1928,7.266,,0.004,,7.27,Ralston et al.
1929,6.015,,0.01,,6.025,Ralston et al.
1930,8.519,,0.01,,8.529,Ralston et al.
1931,3.626,,,,3.626,Ralston et al.
1932,9.266,,0.032,,9.298,Ralston et al.
1933,3.33,,0.092,,3.422,Ralston et al.
1934,7.089,,0.956,,8.045,Ralston et al.
1935,6.309,,0.796,,7.105,Ralston et al.
1936,6.221,,1.204,,7.425,Ralston et al.
1937,5.599,,0.763,,6.362,Ralston et al.
1938,3.261,,3.004,,6.265,Ralston et al.
1939,0.723,,5.788,,6.511,Ralston et al.
1940,0.298,,3.434,,3.732,Ralston et al.
1941,0.849,,0.957,,1.806,Ralston et al.
1942,0.519,,0.701,,1.22,Ralston et al.
1943,1.745,,0.015,,1.76,Ralston et al.
1944,0.49,,,,0.49,Ralston et al.
1945,0.553,,0.002,,0.555,Ralston et al.
1946,1.449,,0.063,,1.512,Ralston et al.
1947,1.484,,0.085,,1.569,Ralston et al.
1948,3.253,,0.089,,3.342,Ralston et al.
