Model,AIC,BIC
\textbf{Logormal submodel},,
~Year + Wave + Depth + Region + Year:Region + Region:Wave + Depth:Wave,2557.98,3136.79
~Year + Wave + Depth + Region + Wave:Region + Wave:Depth,2521.72,2777.23
~Year + Wave + Depth + Region + Wave:Depth,2512.92,2695.42
~Year + Wave + Depth + Region,2507.39,2642.96
~Year + Depth + Region,\textbf{2505.26},\textbf{2625.20}
~Year + Region,,2611.56
\textbf{Binomial submodel},,
~Depth + Region + Wave + Year,8034.85,8229.11
~Depth + Region + Wave,,8174.72
~Depth + Region + Year,\textbf{8033.30},
~Depth + Region,,8153.39
