Year,Pt Conc. To Cape Mendocino,Cape Mendocino To CA-OR border,% of catch north of Cape Mendocino,% adjusted to match CRFS data
1957,633942,3388,0.5%,1.0%
1958,1043547,2786,0.3%,0.5%
1959,872489,2134,0.2%,0.5%
1960,675870,1379,0.2%,0.4%
1961,510629,1132,0.2%,0.4%
1962,585544,537,0.1%,0.2%
1963,603016,549,0.1%,0.2%
1964,457779,622,0.1%,0.3%
1965,712922,1072,0.2%,0.3%
1966,767130,302,0.0%,0.1%
1967,756345,1092,0.1%,0.3%
1968,796635,589,0.1%,0.1%
1969,838879,1733,0.2%,0.4%
1970,1042951,349,0.0%,0.1%
1971,800620,452,0.1%,0.1%
1972,1091050,1311,0.1%,0.2%
1973,1385090,753,0.1%,0.1%
1974,1461828,401,0.0%,0.1%
1975,1393389,192,0.0%,0.0%
1976,1575447,230,0.0%,0.0%
1977,1379412,315,0.0%,0.0%
1978,1190453,2377,0.2%,0.4%
1979,1315420,2753,0.2%,0.4%
1980,1329375,2494,0.2%,0.3%
1981,1597924,7694,0.5%,0.9%
1982,1621139,4732,0.3%,0.5%
1983,1515401,12197,0.8%,1.5%
1984,1291340,3400,0.3%,0.5%
1985,1197297,3638,0.3%,0.6%
1986,1063522,8705,0.8%,1.5%
1987,1147014,9427,0.8%,1.5%
1988,1216914,8500,0.7%,1.3%
1989,1437152,4853,0.3%,0.6%
1990,1517596,21458,1.4%,2.6%
1991,1286523,18387,1.4%,2.6%
1992,1465874,13385,0.9%,1.7%
1993,1213593,16975,1.4%,2.6%
1994,913140,13439,1.5%,2.7%
1995,769021,12163,1.6%,2.9%
1996,641306,6404,1.0%,1.8%
1997,790977,6976,0.9%,1.6%
1998,783588,11298,1.4%,2.7%
1999,784390,14079,1.8%,3.3%
2000,438816,10175,2.3%,4.2%
2001,390885,9686,2.4%,4.5%
2002,385765,10430,2.6%,4.9%
2003,386823,15064,3.7%,7.0%
