Label,Base,Weight Harmonic Mean,Remove Index,Remove Ages,Down Weight Lengths,Free Size Age0,Free CV Amin,External Growth
TOTAL_like,1011.1,1062.1,1043.5,13.2,976.0,991.1,993.4,1214.7
Catch_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equil_catch_like,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Survey_like,-32.8,-33.3,0.0,-36.9,-32.6,-31.0,-32.2,-36.9
Length_comp_like,45.9,95.6,46.2,44.6,12.3,46.2,45.9,46.7
Age_comp_like,992.5,994.2,991.7,0.0,990.7,969.4,974.3,1199.5
Parm_priors_like,5.6,5.6,5.6,5.6,5.6,6.6,5.6,5.6
SSB_Unfished_thousand_mt,0.065,0.067,0.062,0.13,0.064,0.062,0.065,0.125
TotBio_Unfished,152.3,155.9,146.3,298.5,150.8,155.5,150.0,285.2
SmryBio_Unfished,149.8,153.5,143.9,289.5,148.3,146.7,147.9,277.5
Recr_Unfished_billions,1.40E-05,1.40E-05,1.40E-05,2.50E-05,1.40E-05,1.30E-05,1.40E-05,2.30E-05
SSB_Btgt_thousand_mt,0.026,0.027,0.025,0.052,0.026,0.025,0.026,0.05
SPR_Btgt,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Fstd_Btgt,0.05,0.05,0.05,0.06,0.05,0.04,0.05,0.06
TotYield_Btgt_thousand_mt,0.003,0.003,0.003,0.007,0.003,0.003,0.003,0.007
SSB_SPRtgt_thousand_mt,0.03,0.031,0.029,0.06,0.03,0.029,0.03,0.057
Fstd_SPRtgt,0.040,0.040,0.040,0.046,0.041,0.037,0.038,0.046
TotYield_SPRtgt_thousand_mt,0.003,0.003,0.003,0.007,0.003,0.003,0.003,0.006
SSB_MSY_thousand_mt,0.015,0.016,0.015,0.03,0.015,0.014,0.015,0.029
SPR_MSY,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Fstd_MSY,0.08,0.08,0.08,0.10,0.08,0.08,0.08,0.10
TotYield_MSY_thousand_mt,0.004,0.004,0.004,0.008,0.004,0.003,0.003,0.007
RetYield_MSY,3.7,3.7,3.6,7.9,3.7,3.4,3.5,7.4
Bratio_2015,0.515,0.521,0.496,0.776,0.520,0.473,0.487,0.763
F_2015,1.03,1.03,1.02,1.07,1.04,1.01,1.02,1.06
SPRratio_2015,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Recr_2015,13.3,13.4,12.8,24.6,13.2,12.4,12.9,22.9
Recr_Virgin_billions,1.40E-05,1.40E-05,1.40E-05,2.50E-05,1.40E-05,1.30E-05,1.40E-05,2.30E-05
L_at_Amin_Fem_GP_1,2.0,2.0,2.0,2.0,2.0,16.1,2.0,2.0
L_at_Amax_Fem_GP_1,35.1,35.3,35.0,34.3,34.9,35.4,35.7,34.9
VonBert_K_Fem_GP_1,0.151,0.146,0.152,0.236,0.156,0.082,0.130,0.220
CV_young_Fem_GP_1,0.100,0.100,0.100,0.100,0.100,0.100,0.250,0.100
CV_old_Fem_GP_1,0.080,0.084,0.080,0.094,0.077,0.087,0.071,0.100
