Label,base (Francis weights),drop_indices,drop_discard,downweight_lengths,drop_ages,no data weighting,harm. mean weights,external_growth,est_h_and_M
TOTAL_like,616.214,637.671,570.087,341.547,329.649,1409.01,487.91,831.091,590.511
Survey_like,-21.5079,NA,-21.4812,-21.279,-18.4177,-22.0121,-21.6641,-21.3396,-18.99
Length_comp_like,362.17,362.349,321.643,95.7602,339.285,1143.33,290.393,469.571,348.491
Age_comp_like,268.94,268.815,269.923,264.056,NA,277.062,213.54,357.304,253.04
Parm_priors_like,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,5.75E-01
R0_billions,0.000118,0.000119,0.000113,0.000115,0.000468,0.000115,0.000117,8.70E-05,0.000286
SR_BH_steep,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.924688
NatM_p_1_Fem_GP_1,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.0997155
NatM_p_1_Mal_GP_1,0,0,0,0,0,0,0,0,0
L_at_Amax_Fem_GP_1,31.5957,31.5733,31.4,32.5444,25.1046,32.0632,32.1718,33.62,33.2814
L_at_Amax_Mal_GP_1,0,0,0,0,0,0,0,0,0
VonBert_K_Fem_GP_1,0.163358,0.164447,0.161402,0.15828,0.0272898,0.14425,0.152074,0.23,0.135415
VonBert_K_Mal_GP_1,0,0,0,0,0,0,0,0,0
SPB_Virgin_thousand_mt,0.376,0.379,0.349,0.413,0.566,0.371,0.393,0.426,0.304
Bratio_2015,0.296167,0.303715,0.284925,0.287708,0.415338,0.241677,0.280614,0.227571,0.580725
SPRratio_2014,0.988348,0.971385,1.00052,1.00108,0.826973,1.12294,1.02105,1.11133,0.531102
