Year,placeholder,Nearshore_Rockfish_North,China_Rockfish_contribution,Estimated_Catch_North,Nearshore_Rockfish_South,China_Rockfish_contribution,Estimated_Catch_South
\textbf{2005},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},122,na,0,615,na,0
\textbf{2006},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},122,na,0,615,na,0
\textbf{2007},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},142,na,0,564,na,0
\textbf{2008},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},142,na,0,564,na,0
\textbf{2009},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},155,na,0,650,na,0
\textbf{2010},\textbf{ABC},na,na,0,na,na,0
,\textbf{Total Catch OY},155,na,0,650,na,0
\textbf{2011},\textbf{OFL},116,11.7,0,1156,19.8,0
,\textbf{ACL},99,9.8,0,1001,16.5,0
\textbf{2012},\textbf{OFL},116,11.7,0,1145,19.8,0
,\textbf{ACL},99,9.8,0,990,16.5,0
\textbf{2013},\textbf{OFL},110,9.8,0,1164,16.6,0
,\textbf{ACL},94,8.2,0,1005,13.8,0
\textbf{2014},\textbf{OFL},110,9.8,0,1160,16.6,0
,\textbf{ACL},94,8.2,0,1001,13.8,0
\textbf{2015},\textbf{OFL},88,7.2,0,1313,55.2,0
,\textbf{ACL},69,6.6,0,1114,50.4,0
\textbf{2016},\textbf{OFL},88,7.4,0,1288,52.7,0
,\textbf{ACL},69,6.8,0,1006,50.4,0
