Stock,Landings,EstCatch,Nearshore N ABC,China  contr. N ABCOFL,Nearshore RF North OYACL,China contr. N OYACL,Landings,EstCatchS,Nearshore S ABCOFL,China contr. S ABCOFL,Nearshore RF South OYACL,China contr. S OYACL
2006,11.63,11.34,NA,NA,122,NA,12.74,13.6,NA,NA,615,NA
2007,16.14,15.79,NA,NA,142,NA,13.39,14.22,NA,NA,564,NA
2008,16.97,16.86,NA,NA,142,NA,15.16,16.02,NA,NA,564,NA
2009,15.37,15.42,NA,NA,155,NA,20.15,20.98,NA,NA,650,NA
2010,12.58,12.44,NA,NA,155,NA,18.75,19.32,NA,NA,650,NA
2011,16.92,16.56,116,11.7,99,9.8,15.62,16.21,"1,156",19.8,"1,001",16.5
2012,17.71,17.51,116,11.7,99,9.8,13.79,14.13,"1,145",19.8,990,16.5
2013,15.67,15.65,110,9.8,94,8.2,10.01,10.44,"1,164",16.6,"1,005",13.8
2014,9.93,10.06,110,9.8,94,8.2,11.17,11.85,"1,160",16.6,"1,001",13.8
2015,NA,NA,88,7.2,69,6.6,NA,NA,"1,313",55.2,"1,114",50.4
