"file","caption","category","png_time","Run_time"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio1_sizeatage.png","Length at age in the middle of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio4_weightatsize.png","Weight-length relationship","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio5_maturity.png","Maturity at length","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio6_fecundity.png","Fecundity","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio8_fecundity_len.png","Fecundity as a function of length","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//bio9_spawningoutput.png","Spawning output at length","Bio",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt1sex1.png","Female ending year selectivity for 1_WA_SouthernWA_Rec_PCPR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt1sex2.png","Male ending year selectivity for 1_WA_SouthernWA_Rec_PCPR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt2sex1.png","Female ending year selectivity for 2_WA_NorthernWA_Rec_PC","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt2sex2.png","Male ending year selectivity for 2_WA_NorthernWA_Rec_PC","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt3sex1.png","Female ending year selectivity for 3_WA_NorthernWA_Rec_PR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel09_len_flt3sex2.png","Male ending year selectivity for 3_WA_NorthernWA_Rec_PR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt1sex1.png","Female ending year selectivity and growth for 1_WA_SouthernWA_Rec_PCPR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt1sex2.png","Male ending year selectivity and growth for 1_WA_SouthernWA_Rec_PCPR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt2sex1.png","Female ending year selectivity and growth for 2_WA_NorthernWA_Rec_PC","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt2sex2.png","Male ending year selectivity and growth for 2_WA_NorthernWA_Rec_PC","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt3sex1.png","Female ending year selectivity and growth for 3_WA_NorthernWA_Rec_PR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/sel21_agelen_contour_flt3sex2.png","Male ending year selectivity and growth for 3_WA_NorthernWA_Rec_PR","Sel",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/ts1_Total_biomass_(mt).png","Total biomass (mt)","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/ts4_Summary_biomass_(mt).png","Summary biomass (mt)","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/ts7_Spawning_biomass_(mt).png","Spawning biomass (mt)","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/ts9_Spawning_depletion.png","Spawning depletion","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots/ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)","Timeseries",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//SR_curve.png","Spawner-recruit curve","S-R",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//SR_curve2.png","Spawner-recruit curve with labels on first, last, and years with (log) deviations > 0.5","S-R",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//catch1 landings.png","landings","Catch",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//catch2 landings stacked.png","landings stacked","Catch",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//catch9 harvest rate.png","harvest rate","Catch",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots///SPR1_series.png","Timeseries of SPR","SPR",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots///SPR2_minusSPRseries.png","Timeseries of 1-SPR","SPR",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots///SPR4_phase.png","Phase plot of biomass ratio vs. SPR ratio","SPR",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index1_cpuedata_3_WA_NorthernWA_Rec_PR.png","Index data for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index2_cpuefit_3_WA_NorthernWA_Rec_PR.png","Fit to index data for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index3_cpuecheck_3_WA_NorthernWA_Rec_PR.png","Observed vs. expected index values with smoother for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index4_logcpuedata_3_WA_NorthernWA_Rec_PR.png","Log index data for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index5_logcpuefit_3_WA_NorthernWA_Rec_PR.png","Fit to index data on log scale for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index6_logcpuecheck_3_WA_NorthernWA_Rec_PR.png","log(observed) vs. log(expected) index values with smoother for 3_WA_NorthernWA_Rec_PR","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//index9_standcpueall.png","Standardized indices overlaid","Index",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers1_sex1_beg.png","Beginning of year expected numbers at age of females in (max ~ 7.1 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers1_sex2_beg.png","Beginning of year expected numbers at age of males in (max ~ 7.1 thousand)","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaN/plots//numbers2_meanage_beg.png","Beginning of year mean age in the population","Numbers",2015-06-16 10:25:36,"StartTime: Mon Jun 15 11:09:13 2015"
